code|name|sec|day|time|room|lecturer
703412|Knowledge Management for Business Organizations การจัดการความรู้สำหรับองค์กรธุรกิจ|001|MTh|0800-0930 - -|BAB1342|เขมกร ไชยประสิทธิ์
703412|Knowledge Management for Business Organizations การจัดการความรู้สำหรับองค์กรธุรกิจ|801|MTh|0800-0930 - -|BAB1342|เขมกร ไชยประสิทธิ์
011251|Logic ตรรกศาสตร์|001|MTh|0930-1100 - -|HB6240|ระพี แสงสาคร
011251|Logic ตรรกศาสตร์|801|MTh|0930-1100 - -|TBA|ระพี แสงสาคร
001464|Major Works in American Literature วรรณกรรมอเมริกันชิ้นเอก|001|TuF|1430-1600 - -|HB7306|เกวลิน แก้วเรือน
008326|Beverage and Bar Management การจัดการเครื่องดื่มและบาร์ 008326 มี Lab พ่วง|001|TuF|1100-1230 - -|HB7304|มานิศา ผิวจันทร์
008326|Beverage and Bar Management การจัดการเครื่องดื่มและบาร์ 008326 มี Lab พ่วง|801|Tu|1630-1930 - -|HB7304|มานิศา ผิวจันทร์
008326|Beverage and Bar Management การจัดการเครื่องดื่มและบาร์ 008326 มี Lab พ่วง|802|Sa|1300-1600 - -|ห้องฝึกปฏิบัติการ|มานิศา ผิวจันทร์
002489|Independent Study การศึกษาอิสระ|001|TuF|0930-1100 - -|HB7603|อังศุมารินทร์ ต่อมดวงแก้ว
002489|Independent Study การศึกษาอิสระ|002|MTh|1100-1230 - -|HB7603|มณทิญา พ่วงทรัพย์
002489|Independent Study การศึกษาอิสระ|003|TuF|1430-1600 - -|HB5300|วิริญจน์ หุตะสังกาศ
002489|Independent Study การศึกษาอิสระ|004|TuF|0930-1100 - -|HB7611|ศโรชิน อาจหาญ
002489|Independent Study การศึกษาอิสระ|005|TuF|0800-0930 - -|HB5330|จิรวุฒิ ชัยเพ็ชร
703243|Applied Business Statistics สถิติธุรกิจ|001|MTh|0930-1100 - -|BAB1333|ศรัญญา กันตะบุตร Co-Instruc วรัทยา แจ้งกระจ่าง
703243|Applied Business Statistics สถิติธุรกิจ|002|MTh|1100-1230 - -|BAB1333|วรัทยา แจ้งกระจ่าง Co-Instruc ศรัญญา กันตะบุตร
703243|Applied Business Statistics สถิติธุรกิจ|003|TuF|0930-1100 - -|BAB1333|ศรัญญา กันตะบุตร Co-Instruc วรัทยา แจ้งกระจ่าง
703243|Applied Business Statistics สถิติธุรกิจ|004|TuF|1100-1230 - -|BAB1333|วรัทยา แจ้งกระจ่าง Co-Instruc ศรัญญา กันตะบุตร
703243|Applied Business Statistics สถิติธุรกิจ|801|Mo|1630-1930 - -|BAB1333|ศรัญญา กันตะบุตร Co-Instruc วรัทยา แจ้งกระจ่าง
703243|Applied Business Statistics สถิติธุรกิจ|802|Tu|1630-1930 - -|BAB1333|วรัทยา แจ้งกระจ่าง Co-Instruc ศรัญญา กันตะบุตร
703243|Applied Business Statistics สถิติธุรกิจ|803|Th|1630-1930 - -|BAB1333|ศรัญญา กันตะบุตร Co-Instruc วรัทยา แจ้งกระจ่าง
011105|Survey on Eastern Philosophy สำรวจปรัชญาตะวันออก|001|MTh|1100-1230 - -|HB7701|แสวง แสนบุตร
006479|Home and Community Internship การฝึกงานบ้านและชุมชน|000|-|0800-0930 - -|HB|อรยา พรเอี่ยมมงคล
117206|Time/Space Based Arts : Analysis and Writing ศิลปะบนฐานกาล/เทศะ : การวิเคราะห์และการเขียน|001|We|0900-1200 - -|ห้องเรียนสหศาสตร์ศิลป์|NIKOLAOS KOLONIAS
703756|Visionary Leadership for Sustainability ภาวะผู้นำเชิงวิสัยทัศน์เพื่อความยั่งยืน|801|TBA|09.0-16.0 - -|2402|รอม แพสุวรรณ
702756|Financial Programming การเขียนโปรแกรมทางการเงิน Class period 31 Aug. 2025 to 26 Oct. 2025|801|TBA|0900-1600 - -|BAB2303|YOSUKE KAKINUMA
110233|Jewelry Design and Making การออกแบบและสร้างสรรค์เครื่องประดับ|001|MTh|1300-1530 - -|ห้องปฏิบัติการเครื่องประดับ ชั้น 1|รงคกร อนันตศานต์
049352|Desire and the Production of Cultures ความปรารถนาและการผลิตทางวัฒนธรรม Teaching medium is in English/เรียนเป็นภาษาอังกฤษ|701|MTh|1430-1600 - -|HB7706|SARAH KATHERINE KIMMET
049352|Desire and the Production of Cultures ความปรารถนาและการผลิตทางวัฒนธรรม Teaching medium is in English/เรียนเป็นภาษาอังกฤษ|702|MTh|1430-1600 - -|HB7706|SARAH KATHERINE KIMMET
128470|Cooperative Education in Public Administration สหกิจศึกษา|000|TBA|0000-0000 - -|TBA|รวีวรรณ แพทย์สมาน
128470|Cooperative Education in Public Administration สหกิจศึกษา|000|TBA|0000-0000 - -|TBA|อลงกรณ์ คูตระกูล
128470|Cooperative Education in Public Administration สหกิจศึกษา|000|TBA|0000-0000 - -|TBA|พิกุล อิทธิหิรัญวงศ์
128470|Cooperative Education in Public Administration สหกิจศึกษา|000|TBA|0000-0000 - -|TBA|วรพงศ์ ตระการศิรินนท์
128470|Cooperative Education in Public Administration สหกิจศึกษา|000|TBA|0000-0000 - -|TBA|พนม กุณาวงค์
128470|Cooperative Education in Public Administration สหกิจศึกษา|000|TBA|0000-0000 - -|TBA|พจนา พิชิตปัจจา
128470|Cooperative Education in Public Administration สหกิจศึกษา|000|TBA|0000-0000 - -|TBA|ศศิพัชร์ ชัยสิริบดินทร์
128470|Cooperative Education in Public Administration สหกิจศึกษา|000|TBA|0000-0000 - -|TBA|ไกรวุฒิ ใจคำปัน
